"(PDH-CSV 4.0) (RTZ 7 (","\\DESKTOP-M5PFFQC\MSSQL$TEW_SQLEXPRESS:SQL Statistics\Batch Requests/sec","\\DESKTOP-M5PFFQC\Память\Доступно МБ","\\DESKTOP-M5PFFQC\Процессор(0)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(1)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(10)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(11)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(2)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(3)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(4)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(5)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(6)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(7)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(8)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(9)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(_Total)\% загруженности процессора","\\DESKTOP-M5PFFQC\Физический диск(0 C: D:)\Среднее время чтения с диска (с)"
"12/02/2025 20:26:45.836"," ","1318"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"12/02/2025 20:27:00.850","0","1129","100","12.581486293366506146","25.277984712663268851","20.802989368157032146","100","19.137874821364007971","100","14.142531180984951433","100","10.500093109875230368","27.255308236979981729","15.911715386952540285","45.467498592528635015","0.00033765589887640448056"
"12/02/2025 20:27:15.837","0","916","100","56.941793866070653962","44.847963571795112614","40.469162948005688918","100","58.71416554712828173","100","64.239794905719691087","100","59.2354513356746466","43.075591890737484846","37.132933901308987856","67.05473816387004149","0.0013685875234261122343"
"12/02/2025 20:27:30.846","0","964","100","33.477328010688957249","27.751589420059687541","20.568390097270228267","100","44.512387839901748521","100","49.509396064450925223","100","44.824700853936072065","25.669502659830854441","19.735555393178692896","55.504070972654396599","0.0038529513263336929996"
"12/02/2025 20:27:45.833","0","910","100","31.607311844275098878","20.034768574022866261","15.655968417711207508","100","40.677683596634949481","100","46.933112391365881422","100","40.052140717161854866","21.911397212442139448","13.883596925870778094","52.562998306623732958","0.006883039293393276338"
"12/02/2025 20:28:00.834","0","640","100","29.905091001614447777","19.906411560537161876","14.282154374931188556","100","37.820712225800633632","100","44.590651430696716773","100","39.070547155935287265","20.010564471381719898","13.136472355641082288","51.560216936948407351","0.0088787099016953974218"
"12/02/2025 20:28:15.837","0","571","100","46.364823976142609752","29.59732234538330431","24.806607593737794559","100","50.114078999169528572","100","58.44575682811825601","100","53.550896103610881482","24.18173175656663787","22.098812299329452458","59.096669491771990579","0.0030881959893302849719"
"12/02/2025 20:28:30.843","0","576","100","39.919791317882136639","17.324634846444396885","11.701877014842377633","100","46.583800599780822438","100","53.66431046179818054","100","47.20855146995882734","14.929756510762059563","13.472004480346722488","53.733727447284941547","0.0031382321164710996059"
"12/02/2025 20:28:45.832","0","567","100","39.434676187331533015","15.771460171022166463","10.455054810529752274","100","46.627459910350680161","100","48.295351788152217409","100","43.708649124197982871","15.041757474483985035","11.184757507067921267","52.543263580849639993","0.0048832040807205712163"
"12/02/2025 20:29:00.842","0","560","100","38.166144247617637575","17.034371995540830369","11.413112381687895436","100","43.162819459931355937","100","49.825053076349668402","100","40.976774054544108594","13.495060386818613196","9.8516513778398540069","51.993748692953033697","0.0062506904533312689434"
"12/02/2025 20:29:15.831","0","538","100","38.288005461931831519","19.315736870836541783","13.06114282981612007","100","40.998329546374009169","100","48.08686945953049019","100","46.314734481241373487","19.211493636819533037","14.207818404003191404","53.290344780176667427","0.0075226827021206863974"
"12/02/2025 20:29:30.846","0","541","100","40.476111983151326967","16.749806969442428084","13.315736506931919791","100","44.118307928238230886","100","53.379891902887756316","100","47.344252908172336447","18.206685347477179704","15.813242297848651319","54.117002432011197754","0.0026414878692386980358"
"12/02/2025 20:29:45.843","0","561","100","45.405680833801923768","19.983898626640971941","12.794952018878246847","100","46.134994257777847793","100","61.658951425265470903","100","49.364810849671250992","17.483395458723506977","13.31589017886105708","55.511881137468357394","0.0011678197247706422184"
"12/02/2025 20:30:00.841","0","496","100","42.804804195753888507","18.322343332369850799","13.113309106117920777","100","45.305140624354812928","100","57.181738660209191494","100","46.659489523180312176","18.218162647844803104","12.904947737067850255","54.542494874493677059","0.0024579896658831431634"
"12/02/2025 20:30:15.837","0","523","100","41.963616398044358391","17.582083610149169317","11.434603120893548578","100","43.734924335626487846","100","52.383074854409827026","100","47.069151041663438662","17.790472779276477411","14.039467734984912184","53.833116045113129644","0.0032123797648307451935"
"12/02/2025 20:30:30.852","0","539","100","40.059867405233887894","16.437627650004881019","11.026365679644046125","100","43.077686581012045508","100","54.212398712331435036","100","42.557372930015802126","15.813251268809391803","11.858867521238025233","52.920286590024367968","0.0030430567896412908692"
"12/02/2025 20:30:45.842","0","528","100","39.438717382264400158","16.506734291211333954","11.086447378780606599","100","43.191223706254902481","100","51.947071795566067465","100","43.086987419477381422","15.777080283768729174","12.024573959778228627","52.754903351647918441","0.0033653436617468533015"
"12/02/2025 20:31:00.832","0","495","100","38.813295987943405407","15.255893761836446743","12.128804970760299398","100","40.37684038348147908","100","49.758106756709921115","100","44.754764690988089626","14.422003417549477788","11.399150919509203561","52.242404851694104195","0.0047658650319467102396"
"12/02/2025 20:31:15.842","0","485","100","41.60135767795252093","18.804026718008859831","15.472909865414353092","100","43.162818702606195131","100","51.594708235736050028","100","45.452961538764924398","18.595831914721706823","15.160617660483621805","54.153769470511250006","0.0053100843615390231831"
"12/02/2025 20:31:30.839","0","521","100","43.009367577965122109","15.191270947831092997","10.190264812076655687","100","46.239184040639855766","100","56.970509706946238282","100","43.530305717106209329","17.483398760051869658","11.440516346015261462","53.67123460345241881","0.0033814185991179199556"
"12/02/2025 20:31:45.841","0.26663453898228289818","776","100","40.945299157491263031","18.448270265106991417","15.740294565097768142","100","45.840485999815626883","100","52.089660692144590826","100","47.715238407514313224","18.344117353568169193","15.6361416535589548","54.563292674480791788","0.0049895284164491295401"
"12/02/2025 20:32:00.830","0","1199","100","34.535241175774153533","17.64783523704073076","13.165375636018906036","100","39.538917009472939412","100","47.878376732304261054","100","47.982619978839657904","17.335105497434565081","14.520537840978997579","52.717000647795885016","0.0061116519040902671234"
"12/02/2025 20:32:15.833","0","1164","100","29.389034164829631379","18.141269695510452209","12.100803591616815069","100","38.033149451436031541","100","45.115075228414767139","100","36.9916897783509242","16.89151808780832198","12.309095526233837958","50.74763640477242177","0.0077764199100517203064"
"12/02/2025 20:32:30.841","0","1196","100","30.34956285494987327","16.086319373826007961","7.9656406035511047037","100","33.577012109802716111","100","44.300472537217018498","100","36.492127565798838873","15.461651776112550039","8.9026420001212862587","49.427952068625558013","0.0080699377455761452105"
"12/02/2025 20:32:45.838","0","1194","100","29.152404573389990361","15.608011330067483868","10.190254032738488732","100","31.236157380054983435","100","44.467987702377740789","100","36.02878883538448207","13.524258523402487242","7.58556302440723762","48.982785227884939161","0.0062821502574541970843"
"12/02/2025 20:33:00.846","0","1195","100","33.056454886268952009","17.543876002993798124","11.297199942614533086","100","40.968911229416015374","100","48.569033769544112999","100","40.344243623378083896","15.669873184880012573","12.650646422363376331","51.675020365996317651","0.0038477727712060011411"
"12/02/2025 20:33:15.842","0","1190","100","34.461609368739154036","16.748530819749738896","12.476553052052285153","100","37.483252180037354151","100","44.985261918432875916","100","40.609089571035482891","17.061114558849553191","11.955580153552602951","51.315082301781430374","0.0054760488153365880284"
"12/02/2025 20:33:30.835","0","1180","100","32.989475981987517628","16.731868288659445199","10.374726818832446185","100","36.011723566003631447","100","50.080807146768300697","100","42.88994220548858749","14.647559610027649057","8.0819872723374643897","50.984007796501671805","0.0035161033746107612716"
"12/02/2025 20:33:45.846","0","1182","100","39.107082140881374244","22.556699338146568579","16.415362323295290992","100","40.56434855118506988","100","58.780178679981240464","99.89590954212116003","47.226137855430529555","20.162618806933362947","13.188558129051397572","54.824741280585499226","0.00178444102252901457"
"12/02/2025 20:34:00.842","0","1157","100","36.649693852643672187","20.603728150846180256","10.184269902925723983","100","38.733585502227754205","100","55.196329533942069645","100","47.069152100564117802","16.956917764074020738","11.642994057634592053","53.08638890531551624","0.0017198096791718226091"
"12/02/2025 20:34:15.829","0","1163","100","36.820164957569978981","19.721991777770430332","15.343191329285177815","100","39.113822335347961712","100","56.31625266868287838","100","45.786280161611202288","18.783677395952157241","15.343191329285177815","53.935714552040671776","0.0029790060004598051258"
"12/02/2025 20:34:30.834","0","1161","100","34.917442044225808218","18.985231856652283966","13.153834663814922834","100","40.019914587958503205","100","53.14055827184258618","100","43.976934111669571337","17.423250465713703505","11.695985365605576334","52.776095947290244226","0.004599885936869298024"
